City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,vilyuysk,63.7553,121.6247,269.84,96,100,2.9,RU,1682458466
342,pimentel,-6.8367,-79.9342,299.31,73,75,6.69,PE,1682458466
343,bodo,67.28,14.405,274.17,79,75,4.12,NO,1682458467
344,happy valley-goose bay,53.3168,-60.3315,284.32,40,40,5.66,CA,1682458236
345,acapulco de juarez,16.8634,-99.8901,303.05,62,20,4.63,MX,1682458383
346,khandyga,62.6667,135.6,271.72,91,94,0.97,RU,1682458469
347,dhuusamarreeb,5.535,46.3861,300.73,71,84,6.66,SO,1682458470
348,ulsteinvik,62.3432,5.8487,275.88,89,100,2.68,NO,1682458470
349,igarka,67.4667,86.5833,270.37,97,100,4.2,RU,1682458249
350,kudat,6.8837,116.8477,301.11,89,20,2.06,MY,1682458471
351,independence,39.0911,-94.4155,293.06,35,20,3.6,US,1682458472
352,okha,53.5739,142.9478,274.58,74,100,7.51,RU,1682458472
353,ulladulla,-35.35,150.4667,289.44,83,9,1.2,AU,1682458472
354,boyolangu,-8.1181,111.8935,297.56,91,93,0.29,ID,1682458473
355,heinsch,49.7008,5.7465,276.48,84,5,1.96,LU,1682458473
356,mil'kovo,55.6078,37.7956,286.67,83,100,3.5,RU,1682458474
357,yardimli,38.9206,48.2372,283.43,95,100,0.42,AZ,1682458474
358,nong phai,15.9903,101.0618,300.46,68,85,1.56,TH,1682458475
359,sattahip,12.6664,100.9007,303.14,89,20,2.06,TH,1682458475
360,polyarnyy,69.1989,33.4478,265.21,91,49,1.94,RU,1682458476
